Average Domestic Airline Itinerary Fares By Origin City for Q4 2024 Ranked by Total Number of Domestic Passengers in 2024,,,,,,,,,,,,,,,,,,
2024 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Quarter:  Q4-2024),2024 Passengers (10% sample),,,,,,,,,,,
168,DAB,Daytona Beach International,Daytona Beach,FL,484.61,484.61," 16,860 ",,,,,,,,,,,
169,JAC,Jackson Hole,Jackson,WY,611.73,611.73," 16,840 ",,,,,,,,,,,
170,TTN,Trenton Mercer,Trenton,NJ,185.04,185.04," 16,828 ",,,,,,,,,,,
171,GNV,Gainesville Regional,Gainesville,FL,584.78,584.78," 16,639 ",,,,,,,,,,,
172,EYW,Key West International,Key West,FL,399.15,399.15," 16,616 ",,,,,,,,,,,
173,GPT,Gulfport-Biloxi International,Gulfport/Biloxi,MS,484.64,484.64," 16,550 ",,,,,,,,,,,
174,MOB,Mobile Regional,Mobile,AL,523.38,523.38," 15,611 ",,,,,,,,,,,
175,LFT,Lafayette Regional Paul Fournet Field,Lafayette,LA,572.47,572.47," 14,541 ",,,,,,,,,,,
176,MRY,Monterey Regional,Monterey,CA,485.08,485.08," 14,130 ",,,,,,,,,,,
177,AVP,Wilkes Barre Scranton International,Scranton/Wilkes-Barre,PA,436.88,436.88," 14,115 ",,,,,,,,,,,
178,JNU,Juneau International,Juneau,AK,489.24,489.24," 14,056 ",,,,,,,,,,,
179,GJT,Grand Junction Regional,Grand Junction,CO,550.54,550.54," 13,880 ",,,,,,,,,,,
180,TRI,Tri Cities,Bristol/Johnson City/Kingsport,TN,600.42,600.42," 12,639 ",,,,,,,,,,,
181,MLB,Melbourne Orlando International,Melbourne,FL,516.49,516.49," 12,470 ",,,,,,,,,,,
182,BRO,Brownsville South Padre Island International,Brownsville,TX,385.42,385.42," 12,172 ",,,,,,,,,,,
183,BFL,Meadows Field,Bakersfield,CA,559.15,559.15," 11,994 ",,,,,,,,,,,
184,DRO,Durango La Plata County,Durango,CO,588.10,588.10," 11,912 ",,,,,,,,,,,
185,CRW,West Virginia International Yeager,Charleston/Dunbar,WV,525.09,525.09," 11,747 ",,,,,,,,,,,
186,ASE,Aspen Pitkin County Sardy Field,Aspen,CO,670.44,670.44," 11,153 ",,,,,,,,,,,
187,BLV,Scott AFB MidAmerica St Louis,Belleville,IL,141.35,141.35," 11,114 ",,,,,,,,,,,
188,GTF,Great Falls International,Great Falls,MT,485.66,485.66," 10,663 ",,,,,,,,,,,
189,EVV,Evansville Regional,Evansville,IN,560.80,560.80," 10,601 ",,,,,,,,,,,
190,FAY,Fayetteville Regional/Grannis Field,Fayetteville,NC,502.79,502.79," 10,527 ",,,,,,,,,,,
191,MOT,Minot International,Minot,ND,461.98,461.98," 10,415 ",,,,,,,,,,,
192,LCK,Rickenbacker International,Columbus,OH,146.95,146.95," 10,393 ",,,,,,,,,,,
193,MGM,Montgomery Regional,Montgomery,AL,533.78,533.78," 10,260 ",,,,,,,,,,,
194,MTJ,Montrose Regional,Montrose/Delta,CO,465.07,465.07," 10,218 ",,,,,,,,,,,
195,ILG,New Castle,Wilmington,DE,175.14,175.14," 10,215 ",,,,,,,,,,,
196,LRD,Laredo International,Laredo,TX,440.47,440.47," 9,858 ",,,,,,,,,,,
197,BMI,Central Il Regional Airport at Bloomington,Bloomington/Normal,IL,478.97,478.97," 9,540 ",,,,,,,,,,,
198,ORH,Worcester Regional,Worcester,MA,290.36,290.36," 9,491 ",,,,,,,,,,,
199,RFD,Chicago/Rockford International,Rockford,IL,177.82,177.82," 9,435 ",,,,,,,,,,,
200,STX,Henry E. Rohlsen,Christiansted,VI,375.85,375.85," 8,986 ",,,,,,,,,,,
201,OAJ,Albert J Ellis,Jacksonville/Camp Lejeune,NC,559.65,559.65," 8,903 ",,,,,,,,,,,
202,PSE,Mercedita,Ponce,PR,230.78,230.78," 8,826 ",,,,,,,,,,,
203,SGU,St George Regional,St. George,UT,562.68,562.68," 7,927 ",,,,,,,,,,,
204,EGE,Eagle County Regional,Eagle,CO,650.26,650.26," 7,923 ",,,,,,,,,,,
205,SAF,Santa Fe Municipal,Santa Fe,NM,534.91,534.91," 7,660 ",,,,,,,,,,,
206,SCE,University Park,State College,PA,654.66,654.66," 7,557 ",,,,,,,,,,,
207,ACV,California Redwood Coast Humboldt County,Arcata/Eureka,CA,459.34,459.34," 7,528 ",,,,,,,,,,,
208,DLH,Duluth International,Duluth,MN,543.50,543.50," 7,375 ",,,,,,,,,,,
209,PBG,Plattsburgh International,Plattsburgh,NY,181.54,181.54," 6,860 ",,,,,,,,,,,
210,LAN,Capital Region International,Lansing,MI,439.94,439.94," 6,720 ",,,,,,,,,,,
211,HDN,Yampa Valley,Hayden,CO,500.43,500.43," 6,709 ",,,,,,,,,,,
212,XWA,Williston Basin International,Williston,ND,575.08,575.08," 6,630 ",,,,,,,,,,,
213,LNK,Lincoln Airport,Lincoln,NE,567.00,567.00," 6,629 ",,,,,,,,,,,
214,USA,Concord Padgett Regional,Concord,NC,118.38,118.38," 6,582 ",,,,,,,,,,,
